"entrez.id;""gene.symbols"";""type.of.regulators"""
"7291;""TWIST1"";""TF"""
"7342;""UBP1"";""TF"""
"7392;""USF2"";""TF"""
"7409;""VAV1"";""TF"""
"7421;""VDR"";""TF"""
"7474;""WNT5A"";""TF"""
"7490;""WT1"";""TF"""
"7494;""XBP1"";""TF"""
"7528;""YY1"";""TF"""
"7539;""ZFP37"";""TF"""
"7545;""ZIC1"";""TF"""
"7546;""ZIC2"";""TF"""
"7547;""ZIC3"";""TF"""
"7555;""CNBP"";""TF"""
"7566;""ZNF18"";""TF"""
"7567;""ZNF19"";""TF"""
"7572;""ZNF24"";""TF"""
"7579;""ZSCAN20"";""TF"""
"7581;""ZNF33A"";""TF"""
"7584;""ZNF35"";""TF"""
"7586;""ZKSCAN1"";""TF"""
"7587;""ZNF37A"";""TF"""
"7589;""ZSCAN21"";""TF"""
"7593;""MZF1"";""TF"""
"7596;""ZNF45"";""TF"""
"7597;""ZBTB25"";""TF"""
"7626;""ZNF75D"";""TF"""
"7639;""ZNF85"";""TF"""
"7643;""ZNF90"";""TF"""
"7644;""ZNF91"";""TF"""
"7690;""ZNF131"";""TF"""
"7691;""ZNF132"";""TF"""
"7692;""ZNF133"";""TF"""
"7693;""ZNF134"";""TF"""
"7694;""ZNF135"";""TF"""
"7697;""ZNF138"";""TF"""
"7699;""ZNF140"";""TF"""
"7703;""PCGF2"";""TF"""
"7704;""ZBTB16"";""TF"""
"7706;""TRIM25"";""TF"""
"7707;""ZNF148"";""TF"""
"7709;""ZBTB17"";""TF"""
"7710;""ZNF154"";""TF"""
"7711;""ZNF155"";""TF"""
"7712;""ZNF157"";""TF"""
"7718;""ZNF165"";""TF"""
"7727;""ZNF174"";""TF"""
"7728;""ZNF175"";""TF"""
"7741;""ZSCAN26"";""TF"""
"7743;""ZNF189"";""TF"""
"7745;""ZKSCAN8"";""TF"""
"7746;""ZSCAN9"";""TF"""
"7753;""ZNF202"";""TF"""
"7756;""ZNF207"";""TF"""
"7760;""ZNF213"";""TF"""
"7762;""ZNF215"";""TF"""
"7764;""ZNF217"";""TF"""
"7775;""ZNF232"";""TF"""
"7789;""ZXDA"";""TF"""
"7799;""PRDM2"";""TF"""
"7849;""PAX8"";""TF"""
"7942;""TFEB"";""TF"""
"7975;""MAFK"";""TF"""
"8022;""LHX3"";""TF"""
"8028;""MLLT10"";""TF"""
"8061;""FOSL1"";""TF"""
"8089;""YEATS4"";""TF"""
"8092;""ALX1"";""TF"""
"8216;""LZTR1"";""TF"""
"8320;""EOMES"";""TF"""
"8431;""NR0B2"";""TF"""
"8462;""KLF11"";""TF"""
"8463;""TEAD2"";""TF"""
"8521;""GCM1"";""TF"""
"8522;""GAS7"";""TF"""
"8531;""YBX3"";""TF"""
"8538;""BARX2"";""TF"""
"8543;""LMO4"";""TF"""
"8548;""BLZF1"";""TF"""
"8553;""BHLHE40"";""TF"""
"8609;""KLF7"";""TF"""
"8625;""RFXANK"";""TF"""
"8626;""TP63"";""TF"""
"8721;""EDF1"";""TF"""
"8820;""HESX1"";""TF"""
"8848;""TSC22D1"";""TF"""
"8880;""FUBP1"";""TF"""
"8896;""BUD31"";""TF"""
"8928;""FOXH1"";""TF"""
"8929;""PHOX2B"";""TF"""
"9014;""TAF1B"";""TF"""
"9044;""BTAF1"";""TF"""
"9095;""TBX19"";""TF"""
"9096;""TBX18"";""TF"""
"9112;""MTA1"";""TF"""
"9139;""CBFA2T2"";""TF"""
"9219;""MTA2"";""TF"""
"9232;""PTTG1"";""TF"""
"9242;""MSC"";""TF"""
"9314;""KLF4"";""TF"""
"9337;""CNOT8"";""TF"""
"9338;""TCEAL1"";""TF"""
"9355;""LHX2"";""TF"""
"9406;""ZRANB2"";""TF"""
"9480;""ONECUT2"";""TF"""
"9496;""TBX4"";""TF"""
"9541;""CIR1"";""TF"""
"9569;""GTF2IRD1"";""TF"""
"9575;""CLOCK"";""TF"""
"9580;""SOX13"";""TF"""
"9586;""CREB5"";""TF"""
"9603;""NFE2L3"";""TF"""
"9611;""NCOR1"";""TF"""
"9705;""ST18"";""TF"""
"9753;""ZSCAN12"";""TF"""
"9757;""KMT2B"";""TF"""
"9819;""TSC22D2"";""TF"""
"9839;""ZEB2"";""TF"""
"9849;""ZNF518A"";""TF"""
"9915;""ARNT2"";""TF"""
"9935;""MAFB"";""TF"""
"9970;""NR1I3"";""TF"""
"9971;""NR1H4"";""TF"""
"9988;""DMTF1"";""TF"""
"10127;""ZNF263"";""TF"""
"10155;""TRIM28"";""TF"""
"10168;""ZNF197"";""TF"""
"10172;""ZNF256"";""TF"""
"10194;""TSHZ1"";""TF"""
"10265;""IRX5"";""TF"""
"10302;""SNAPC5"";""TF"""
"10320;""IKZF1"";""TF"""
"10346;""TRIM22"";""TF"""
"10363;""HMG20A"";""TF"""
"10365;""KLF2"";""TF"""
"10370;""CITED2"";""TF"""
